('2-faced', 'pos'),
('alienated', 'pos'),
('alienation', 'pos'),
('allegation', 'pos'),
('allegations', 'pos'),
('allege', 'pos'),
('allergic', 'pos'),
('allergies', 'pos'),
('allergy', 'pos'),
('aloof', 'pos'),
('altercation', 'pos'),
('ambiguity', 'pos'),
('ambiguous', 'pos'),
('ambivalence', 'pos'),
('ambivalent', 'pos'),
('ambush', 'pos'),
('amiss', 'pos'),
('amputate', 'pos'),
('anarchism', 'pos'),
('anarchist', 'pos'),
('anarchistic', 'pos'),
('anarchy', 'pos'),
('anemic', 'pos'),
('anger', 'pos'),
('angrily', 'pos'),
('angriness', 'pos'),
('angry', 'pos'),
('anguish', 'pos'),
('animosity', 'pos'),
('annihilate', 'pos'),
('annihilation', 'pos'),
('annoy', 'pos'),
('annoyance', 'pos'),
('annoyances', 'pos'),
('annoyed', 'pos'),
('annoying', 'pos'),
('annoyingly', 'pos'),
('annoys', 'pos'),
('anomalous', 'pos'),
('anomaly', 'pos'),
('antagonism', 'pos'),
('antagonist', 'pos'),
('antagonistic', 'pos'),
('antagonize', 'pos'),
('anti-', 'pos'),
('anti-american', 'pos'),
('anti-israeli', 'pos'),
('anti-occupation', 'pos'),
('anti-proliferation', 'pos'),
('anti-semites', 'pos'),
('anti-social', 'pos'),
('anti-us', 'pos'),
('anti-white', 'pos'),
('antipathy', 'pos'),
('antiquated', 'pos'),
('antithetical', 'pos'),
('anxieties', 'pos'),
('anxiety', 'pos'),
('anxious', 'pos'),
('anxiously', 'pos'),
('anxiousness', 'pos'),
('apathetic', 'pos'),
('apathetically', 'pos'),
('apathy', 'pos'),
('apocalypse', 'pos'),
('apocalyptic', 'pos'),
('apologist', 'pos'),
('apologists', 'pos'),
('appal', 'pos'),
('appall', 'pos'),
('appalled', 'pos'),
('appalling', 'pos'),
('appallingly', 'pos'),
('apprehension', 'pos'),
('apprehensions', 'pos'),
('apprehensive', 'pos'),
('apprehensively', 'pos'),
('arbitrary', 'pos'),
('arcane', 'pos'),
('archaic', 'pos'),
('arduous', 'pos'),
('arduously', 'pos'),
('argumentative', 'pos'),
('arrogance', 'pos'),
('arrogant', 'pos'),
('arrogantly', 'pos'),
('ashamed', 'pos'),
('asinine', 'pos'),
('asininely', 'pos'),
('asinininity', 'pos'),
('askance', 'pos'),
('asperse', 'pos'),
('aspersion', 'pos'),
('aspersions', 'pos'),
('assail', 'pos'),
('assassin', 'pos'),
('assassinate', 'pos'),
('assault', 'pos'),
('assult', 'pos'),
('astray', 'pos'),
('asunder', 'pos'),
('atrocious', 'pos'),
('atrocities', 'pos'),
('atrocity', 'pos'),
('atrophy', 'pos'),
('attack', 'pos'),
('attacks', 'pos'),
('audacious', 'pos'),
('audaciously', 'pos'),
('audaciousness', 'pos'),
('audacity', 'pos'),
('audiciously', 'pos'),
('austere', 'pos'),
('authoritarian', 'pos'),
('autocrat', 'pos'),
('autocratic', 'pos'),
('avalanche', 'pos'),
('avarice', 'pos'),
('avaricious', 'pos'),
('avariciously', 'pos'),
('avenge', 'pos'),
('averse', 'pos'),
('aversion', 'pos'),
('aweful', 'pos'),
('awful', 'pos'),
('awfully', 'pos'),
('awfulness', 'pos'),
('awkward', 'pos'),
('awkwardness', 'pos'),
('ax', 'pos'),
('babble', 'pos'),
('back-logged', 'pos'),
('back-wood', 'pos'),
('back-woods', 'pos'),
('backache', 'pos'),
('backaches', 'pos'),
('backaching', 'pos'),
('backbite', 'pos'),
('backbiting', 'pos'),
('backward', 'pos'),
('backwardness', 'pos'),
('backwood', 'pos'),
('backwoods', 'pos'),
('bad', 'pos'),
('badly', 'pos'),
('baffle', 'pos'),
('baffled', 'pos'),
('bafflement', 'pos'),
('baffling', 'pos'),
('bait', 'pos'),
('balk', 'pos'),
('banal', 'pos'),
('banalize', 'pos'),
('bane', 'pos'),
('banish', 'pos'),
('banishment', 'pos'),
('bankrupt', 'pos'),
('barbarian', 'pos'),
('barbaric', 'pos'),
('barbarically', 'pos'),
('barbarity', 'pos'),
('barbarous', 'pos'),
('barbarously', 'pos'),
('barren', 'pos'),
('baseless', 'pos'),
('bash', 'pos'),
('bashed', 'pos'),
('bashful', 'pos'),
('bashing', 'pos'),
('bastard', 'pos'),
('bastards', 'pos'),
('battered', 'pos'),
('battering', 'pos'),
('batty', 'pos'),
('bearish', 'pos'),
('beastly', 'pos'),
('bedlam', 'pos'),
('bedlamite', 'pos'),
('befoul', 'pos'),
('beg', 'pos'),
('beggar', 'pos'),
('beggarly', 'pos'),
('begging', 'pos'),
('beguile', 'pos'),
('belabor', 'pos'),
('belated', 'pos'),
('beleaguer', 'pos'),
('belie', 'pos'),
('belittle', 'pos'),
('belittled', 'pos'),
('belittling', 'pos'),
('bellicose', 'pos'),
('belligerence', 'pos'),
('belligerent', 'pos'),
('belligerently', 'pos'),
('bemoan', 'pos'),
('bemoaning', 'pos'),
('bemused', 'pos'),
('bent', 'pos'),
('berate', 'pos'),
('bereave', 'pos'),
('bereavement', 'pos'),
('bereft', 'pos'),
('berserk', 'pos'),
('beseech', 'pos'),
('beset', 'pos'),
('besiege', 'pos'),
('besmirch', 'pos'),
('bestial', 'pos'),
('betray', 'pos'),
('betrayal', 'pos'),
('betrayals', 'pos'),
('betrayer', 'pos'),
('betraying', 'pos'),
('betrays', 'pos'),
('bewail', 'pos'),
('beware', 'pos'),
('bewilder', 'pos'),
('bewildered', 'pos'),
('bewildering', 'pos'),
('bewilderingly', 'pos'),
('bewilderment', 'pos'),
('bewitch', 'pos'),
('bias', 'pos'),
('biased', 'pos'),
('biases', 'pos'),
('bicker', 'pos'),
('bickering', 'pos'),
('bid-rigging', 'pos'),
('bigotries', 'pos'),
('bigotry', 'pos'),
('bitch', 'pos'),
('bitchy', 'pos'),
('biting', 'pos'),
('bitingly', 'pos'),
('bitter', 'pos'),
('bitterly', 'pos'),
('bitterness', 'pos'),
('bizarre', 'pos'),
('blab', 'pos'),
('blabber', 'pos'),
('blackmail', 'pos'),
('blah', 'pos'),
('blame', 'pos'),
('blameworthy', 'pos'),
('bland', 'pos'),
('blandish', 'pos'),
('blaspheme', 'pos'),
('blasphemous', 'pos'),
('blasphemy', 'pos'),
('blasted', 'pos'),
('blatant', 'pos'),
('blatantly', 'pos'),
('blather', 'pos'),
('bleak', 'pos'),
('bleakly', 'pos'),
('bleakness', 'pos'),
('bleed', 'pos'),
('bleeding', 'pos'),
('bleeds', 'pos'),
('blemish', 'pos'),
('blind', 'pos'),
('blinding', 'pos'),
('blindingly', 'pos'),
('blindside', 'pos'),
('blister', 'pos'),
('blistering', 'pos'),
('bloated', 'pos'),
('blockage', 'pos'),
('blockhead', 'pos'),
('bloodshed', 'pos'),
('bloodthirsty', 'pos'),
('bloody', 'pos'),
('blotchy', 'pos'),
('blow', 'pos'),
('blunder', 'pos'),
('blundering', 'pos'),
('blunders', 'pos'),
('blunt', 'pos'),
('blur', 'pos'),
('bluring', 'pos'),
('blurred', 'pos'),
('blurring', 'pos'),
('blurry', 'pos'),
('blurs', 'pos'),
('blurt', 'pos'),
('boastful', 'pos'),
('boggle', 'pos'),
('bogus', 'pos'),
('boil', 'pos'),
('boiling', 'pos'),
('boisterous', 'pos'),
('bomb', 'pos'),
('bombard', 'pos'),
('bombardment', 'pos'),
('bombastic', 'pos'),
('bondage', 'pos'),
('bonkers', 'pos'),
('bore', 'pos'),
('bored', 'pos'),
('boredom', 'pos'),
('bores', 'pos'),
('boring', 'pos'),
('botch', 'pos'),
('bother', 'pos'),
('bothered', 'pos'),
('bothering', 'pos'),
('bothers', 'pos'),
('bothersome', 'pos'),
('bowdlerize', 'pos'),
('boycott', 'pos'),
('braggart', 'pos'),
('bragger', 'pos'),
('brainless', 'pos'),
('brainwash', 'pos'),
('brash', 'pos'),
('brashly', 'pos'),
('brashness', 'pos'),
('brat', 'pos'),
('bravado', 'pos'),
('brazen', 'pos'),
('brazenly', 'pos'),
('brazenness', 'pos'),
('breach', 'pos'),
('break', 'pos'),
('break-up', 'pos'),
('break-ups', 'pos'),
('breakdown', 'pos'),
('breaking', 'pos'),
('breaks', 'pos'),
('breakup', 'pos'),
('breakups', 'pos'),
('bribery', 'pos'),
('brimstone', 'pos'),
('bristle', 'pos'),
('brittle', 'pos'),
('broke', 'pos'),
('broken', 'pos'),
('broken-hearted', 'pos'),
('brood', 'pos'),
('browbeat', 'pos'),
('bruise', 'pos'),
('bruised', 'pos'),
('bruises', 'pos'),
('bruising', 'pos'),
('brusque', 'pos'),
('brutal', 'pos'),
('brutalising', 'pos'),
('brutalities', 'pos'),
('brutality', 'pos'),
('brutalize', 'pos'),
('brutalizing', 'pos'),
('brutally', 'pos'),
('brute', 'pos'),
('brutish', 'pos'),
('bs', 'pos'),
('buckle', 'pos'),
('bug', 'pos'),
('bugging', 'pos'),
('buggy', 'pos'),
('bugs', 'pos'),
('bulkier', 'pos'),
('bulkiness', 'pos'),
('bulky', 'pos'),
('bulkyness', 'pos'),
('bull****', 'pos'),
('bull----', 'pos'),
('bullies', 'pos'),
('bullshit', 'pos'),
('bullshyt', 'pos'),
('bully', 'pos'),
('bullying', 'pos'),
('bullyingly', 'pos'),
('bum', 'pos'),
('bump', 'pos'),
('bumped', 'pos'),
('bumping', 'pos'),
('bumpping', 'pos'),
('bumps', 'pos'),
('bumpy', 'pos'),
('bungle', 'pos'),
('bungler', 'pos'),
('bungling', 'pos'),
('bunk', 'pos'),
('burden', 'pos'),
('burdensome', 'pos'),
('burdensomely', 'pos'),
('burn', 'pos'),
('burned', 'pos'),
('burning', 'pos'),
('burns', 'pos'),
('bust', 'pos'),
('busts', 'pos'),
('busybody', 'pos'),
('butcher', 'pos'),
('butchery', 'pos'),
('buzzing', 'pos'),
('byzantine', 'pos'),
('cackle', 'pos'),
('calamities', 'pos'),
('calamitous', 'pos'),
('calamitously', 'pos'),
('calamity', 'pos'),
('callous', 'pos'),
('calumniate', 'pos'),
('calumniation', 'pos'),
('calumnies', 'pos'),
('calumnious', 'pos'),
('calumniously', 'pos'),
('calumny', 'pos'),
('cancer', 'pos'),
('cancerous', 'pos'),
('cannibal', 'pos'),
('cannibalize', 'pos'),
('capitulate', 'pos'),
('capricious', 'pos'),
('capriciously', 'pos'),
('capriciousness', 'pos'),
('capsize', 'pos'),
('careless', 'pos'),
('carelessness', 'pos'),
('caricature', 'pos'),
('carnage', 'pos'),
('carp', 'pos'),
('cartoonish', 'pos'),
('cash-strapped', 'pos'),
('castigate', 'pos'),
('castrated', 'pos'),
('casualty', 'pos'),
('cataclysm', 'pos'),
('cataclysmal', 'pos'),
('cataclysmic', 'pos'),
('cataclysmically', 'pos'),
('catastrophe', 'pos'),
('catastrophes', 'pos'),
('catastrophic', 'pos'),
('catastrophically', 'pos'),
('catastrophies', 'pos'),
('caustic', 'pos'),
('caustically', 'pos'),
('cautionary', 'pos'),
('cave', 'pos'),
('censure', 'pos'),
('chafe', 'pos'),
('chaff', 'pos'),
('chagrin', 'pos'),
('challenging', 'pos'),
('chaos', 'pos'),
('chaotic', 'pos'),
('chasten', 'pos'),
('chastise', 'pos'),
('chastisement', 'pos'),
('chatter', 'pos'),
('chatterbox', 'pos'),
('cheap', 'pos'),
('cheapen', 'pos'),
('cheaply', 'pos'),
('cheat', 'pos'),
('cheated', 'pos'),
('cheater', 'pos'),
('cheating', 'pos'),
('cheats', 'pos'),
('checkered', 'pos'),
('cheerless', 'pos'),
('cheesy', 'pos'),
('chide', 'pos'),
('childish', 'pos'),
('chill', 'pos'),
('chilly', 'pos'),
('chintzy', 'pos'),
('choke', 'pos'),
('choleric', 'pos'),
('choppy', 'pos'),
('chore', 'pos'),
('chronic', 'pos'),
('chunky', 'pos'),
('clamor', 'pos'),
('clamorous', 'pos'),
('clash', 'pos'),
('cliche', 'pos'),
('cliched', 'pos'),
('clique', 'pos'),
('clog', 'pos'),
('clogged', 'pos'),
('clogs', 'pos'),
('cloud', 'pos'),
('clouding', 'pos'),
('cloudy', 'pos'),
('clueless', 'pos'),
('clumsy', 'pos'),
('clunky', 'pos'),
('coarse', 'pos'),
('cocky', 'pos'),
('coerce', 'pos'),
('coercion', 'pos'),
('coercive', 'pos'),
('cold', 'pos'),
('coldly', 'pos'),
('collapse', 'pos'),
('collude', 'pos'),
('collusion', 'pos'),
('combative', 'pos'),
('combust', 'pos'),
('comical', 'pos'),
('commiserate', 'pos'),
('commonplace', 'pos'),
('commotion', 'pos'),
('commotions', 'pos'),
('complacent', 'pos'),
('complain', 'pos'),
('complained', 'pos'),
('complaining', 'pos'),
('complains', 'pos'),
('complaint', 'pos'),
('complaints', 'pos'),
('complex', 'pos'),
('complicated', 'pos'),
('complication', 'pos'),
('complicit', 'pos'),
('compulsion', 'pos'),
('compulsive', 'pos'),
('concede', 'pos'),
('conceded', 'pos'),
('conceit', 'pos'),
('conceited', 'pos'),
('concen', 'pos'),
('concens', 'pos'),
('concern', 'pos'),
('concerned', 'pos'),
('concerns', 'pos'),
('concession', 'pos'),
('concessions', 'pos'),
('condemn', 'pos'),
('condemnable', 'pos'),
('condemnation', 'pos'),
('condemned', 'pos'),
('condemns', 'pos'),
('condescend', 'pos'),
('condescending', 'pos'),
('condescendingly', 'pos'),
('condescension', 'pos'),
('confess', 'pos'),
('confession', 'pos'),
('confessions', 'pos'),
('confined', 'pos'),
('conflict', 'pos'),
('conflicted', 'pos'),
('conflicting', 'pos'),
('conflicts', 'pos'),
('confound', 'pos'),
('confounded', 'pos'),
('confounding', 'pos'),
('confront', 'pos'),
('confrontation', 'pos'),
('confrontational', 'pos'),
('confuse', 'pos'),
('confused', 'pos'),
('confuses', 'pos'),
('confusing', 'pos'),
('confusion', 'pos'),
('confusions', 'pos'),
('congested', 'pos'),
('congestion', 'pos'),
('cons', 'pos'),
('conscons', 'pos'),
('conservative', 'pos'),
('conspicuous', 'pos'),
('conspicuously', 'pos'),
('conspiracies', 'pos'),
('conspiracy', 'pos'),
('conspirator', 'pos'),
('conspiratorial', 'pos'),
('conspire', 'pos'),
('consternation', 'pos'),
('contagious', 'pos'),
('contaminate', 'pos'),
('contaminated', 'pos'),
('contaminates', 'pos'),
('contaminating', 'pos'),
('contamination', 'pos'),
('contempt', 'pos'),
('contemptible', 'pos'),
('contemptuous', 'pos'),
('contemptuously', 'pos'),
('contend', 'pos'),
('contention', 'pos'),
('contentious', 'pos'),
('contort', 'pos'),
('contortions', 'pos'),
('contradict', 'pos'),
('contradiction', 'pos'),
('contradictory', 'pos'),
('contrariness', 'pos'),
('contravene', 'pos'),
('contrive', 'pos'),
('contrived', 'pos'),
('controversial', 'pos'),
('controversy', 'pos'),
('convoluted', 'pos'),
('corrode', 'pos'),
('corrosion', 'pos'),
('corrosions', 'pos'),
('corrosive', 'pos'),
('corrupt', 'pos'),
('corrupted', 'pos'),
('corrupting', 'pos'),
('corruption', 'pos'),
('corrupts', 'pos'),
('corruptted', 'pos'),
('costlier', 'pos'),
('costly', 'pos'),
('counter-productive', 'pos'),
('counterproductive', 'pos'),
('coupists', 'pos'),
('covetous', 'pos'),
('coward', 'pos'),
('cowardly', 'pos'),
('crabby', 'pos'),
('crack', 'pos'),
('cracked', 'pos'),
('cracks', 'pos'),
('craftily', 'pos'),
('craftly', 'pos'),
('crafty', 'pos'),
('cramp', 'pos'),
('cramped', 'pos'),
('cramping', 'pos'),
('cranky', 'pos'),
('crap', 'pos'),
('crappy', 'pos'),
('craps', 'pos'),
('crash', 'pos'),
('crashed', 'pos'),
('crashes', 'pos'),
('crashing', 'pos'),
('crass', 'pos'),
('craven', 'pos'),
('cravenly', 'pos'),
('craze', 'pos'),
('crazily', 'pos'),
('craziness', 'pos'),
('crazy', 'pos'),
('creak', 'pos'),
('creaking', 'pos'),
('creaks', 'pos'),
('credulous', 'pos'),
('creep', 'pos'),
('creeping', 'pos'),
('creeps', 'pos'),
('creepy', 'pos'),
('crept', 'pos'),
('crime', 'pos'),
('criminal', 'pos'),
('cringe', 'pos'),
('cringed', 'pos'),
('cringes', 'pos'),
('cripple', 'pos'),
('crippled', 'pos'),
('cripples', 'pos'),
('crippling', 'pos'),
('crisis', 'pos'),
('critic', 'pos'),
('critical', 'pos'),
('criticism', 'pos'),
('criticisms', 'pos'),
('criticize', 'pos'),
('criticized', 'pos'),
('criticizing', 'pos'),
('critics', 'pos'),
('cronyism', 'pos'),
('crook', 'pos'),
('crooked', 'pos'),
('crooks', 'pos'),
('crowded', 'pos'),
('crowdedness', 'pos'),
('crude', 'pos'),
('cruel', 'pos'),
('crueler', 'pos'),
('cruelest', 'pos'),
('cruelly', 'pos'),
('cruelness', 'pos'),
('cruelties', 'pos'),
('cruelty', 'pos'),
('crumble', 'pos'),
('crumbling', 'pos'),
('crummy', 'pos'),
('crumple', 'pos'),
('crumpled', 'pos'),
('crumples', 'pos'),
('crush', 'pos'),
('crushed', 'pos'),
('crushing', 'pos'),
('cry', 'pos'),
('culpable', 'pos'),
('culprit', 'pos'),
('cumbersome', 'pos'),
('cunt', 'pos'),
('cunts', 'pos'),
('cuplrit', 'pos'),
('curse', 'pos'),
('cursed', 'pos'),
('curses', 'pos'),
('curt', 'pos'),
('cuss', 'pos'),
('cussed', 'pos'),
('cutthroat', 'pos'),
('cynical', 'pos'),
('cynicism', 'pos'),
('d*mn', 'pos'),
('damage', 'pos'),
('damaged', 'pos'),
('damages', 'pos'),
('damaging', 'pos'),
('damn', 'pos'),
('damnable', 'pos'),
('damnably', 'pos'),
('damnation', 'pos'),
('damned', 'pos'),
('damning', 'pos'),
('damper', 'pos'),
('danger', 'pos'),
('dangerous', 'pos'),
('dangerousness', 'pos'),
('dark', 'pos'),
('darken', 'pos'),
('darkened', 'pos'),
('darker', 'pos'),
('darkness', 'pos'),
('dastard', 'pos'),
('dastardly', 'pos'),
('daunt', 'pos'),
('daunting', 'pos'),
('dauntingly', 'pos'),
('dawdle', 'pos'),
('daze', 'pos'),
('dazed', 'pos'),
('dead', 'pos'),
('deadbeat', 'pos'),
('deadlock', 'pos'),
('deadly', 'pos'),
('deadweight', 'pos'),
('deaf', 'pos'),
('dearth', 'pos'),
('death', 'pos'),
('debacle', 'pos'),
('debase', 'pos'),
('debasement', 'pos'),
('debaser', 'pos'),
('debatable', 'pos'),
('debauch', 'pos'),
('debaucher', 'pos'),
('debauchery', 'pos'),
('debilitate', 'pos'),
('debilitating', 'pos'),
('debility', 'pos'),
('debt', 'pos'),
('debts', 'pos'),
('decadence', 'pos'),
('decadent', 'pos'),
('decay', 'pos'),
('decayed', 'pos'),
('deceit', 'pos'),
('deceitful', 'pos'),
('deceitfully', 'pos'),
('deceitfulness', 'pos'),
('deceive', 'pos'),
('deceiver', 'pos'),
('deceivers', 'pos'),
('deceiving', 'pos'),
('deception', 'pos'),
('deceptive', 'pos'),
('deceptively', 'pos'),
('declaim', 'pos'),
('decline', 'pos'),
('declines', 'pos'),
('declining', 'pos'),
('decrement', 'pos'),
('decrepit', 'pos'),
('decrepitude', 'pos'),
('decry', 'pos'),
('defamation', 'pos'),
('defamations', 'pos'),
('defamatory', 'pos'),
('defame', 'pos'),
('defect', 'pos'),
('defective', 'pos'),
('defects', 'pos'),
('defensive', 'pos'),
('defiance', 'pos'),
('defiant', 'pos'),
('defiantly', 'pos'),
('deficiencies', 'pos'),
('deficiency', 'pos'),
('deficient', 'pos'),
('defile', 'pos'),
('defiler', 'pos'),
('deform', 'pos'),
('deformed', 'pos'),
('defrauding', 'pos'),
('defunct', 'pos'),
('defy', 'pos'),
('degenerate', 'pos'),
('degenerately', 'pos'),
('degeneration', 'pos'),
('degradation', 'pos'),
('degrade', 'pos'),
('degrading', 'pos'),
('degradingly', 'pos'),
('dehumanization', 'pos'),
('dehumanize', 'pos'),
('deign', 'pos'),
('deject', 'pos'),
('dejected', 'pos'),
('dejectedly', 'pos'),
('dejection', 'pos'),
('delay', 'pos'),
('delayed', 'pos'),
('delaying', 'pos'),
('delays', 'pos'),
('delinquency', 'pos'),
('delinquent', 'pos'),
('delirious', 'pos'),
('delirium', 'pos'),
('delude', 'pos'),
('deluded', 'pos'),
('deluge', 'pos'),
('delusion', 'pos'),
('delusional', 'pos'),
('delusions', 'pos'),
('demean', 'pos'),
('demeaning', 'pos'),
('demise', 'pos'),
('demolish', 'pos'),
('demolisher', 'pos'),
('demon', 'pos'),
('demonic', 'pos'),
('demonize', 'pos'),
('demonized', 'pos'),
('demonizes', 'pos'),
('demonizing', 'pos'),
('demoralize', 'pos'),
('demoralizing', 'pos'),
('demoralizingly', 'pos'),
('denial', 'pos'),
('denied', 'pos'),
('denies', 'pos'),
('denigrate', 'pos'),
('denounce', 'pos'),
('dense', 'pos'),
('dent', 'pos'),
('dented', 'pos'),
('dents', 'pos'),
('denunciate', 'pos'),
('denunciation', 'pos'),
('denunciations', 'pos'),
('deny', 'pos'),
('denying', 'pos'),
('deplete', 'pos'),
('deplorable', 'pos'),
('deplorably', 'pos'),
('deplore', 'pos'),
('deploring', 'pos'),
('deploringly', 'pos'),
('deprave', 'pos'),
('depraved', 'pos'),
('depravedly', 'pos'),
('deprecate', 'pos'),
('depress', 'pos'),
('depressed', 'pos'),
('depressing', 'pos'),
('depressingly', 'pos'),
('depression', 'pos'),
('depressions', 'pos'),
('deprive', 'pos'),
('deprived', 'pos'),
('deride', 'pos'),
('derision', 'pos'),
('derisive', 'pos'),
('derisively', 'pos'),
('derisiveness', 'pos'),
('derogatory', 'pos'),
('desecrate', 'pos'),
('desert', 'pos'),
('desertion', 'pos'),
('desiccate', 'pos'),
('desiccated', 'pos'),
('desititute', 'pos'),
('desolate', 'pos'),
('desolately', 'pos'),
('desolation', 'pos'),
('despair', 'pos'),
('despairing', 'pos'),
('despairingly', 'pos'),
('desperate', 'pos'),
('desperately', 'pos'),
('desperation', 'pos'),
('despicable', 'pos'),
('despicably', 'pos'),
('despise', 'pos'),
('despised', 'pos'),
('despoil', 'pos'),
('despoiler', 'pos'),
('despondence', 'pos'),
('despondency', 'pos'),
('despondent', 'pos'),
('despondently', 'pos'),
('despot', 'pos'),
('despotic', 'pos'),
('despotism', 'pos'),
('destabilisation', 'pos'),
('destains', 'pos'),
('destitute', 'pos'),
('destitution', 'pos'),
('destroy', 'pos'),
('destroyer', 'pos'),
('destruction', 'pos'),
('destructive', 'pos'),
('desultory', 'pos'),
('deter', 'pos'),
('deteriorate', 'pos'),
('deteriorating', 'pos'),
('deterioration', 'pos'),
('deterrent', 'pos'),
('detest', 'pos'),
('detestable', 'pos'),
('detestably', 'pos'),
('detested', 'pos'),
('detesting', 'pos'),
('detests', 'pos'),
('detract', 'pos'),
('detracted', 'pos'),
('detracting', 'pos'),
('detraction', 'pos'),
('detracts', 'pos'),
('detriment', 'pos'),
('detrimental', 'pos'),
('devastate', 'pos'),
('devastated', 'pos'),
('devastates', 'pos'),
('devastating', 'pos'),
('devastatingly', 'pos'),
('devastation', 'pos'),
('deviate', 'pos'),
('deviation', 'pos'),
('devil', 'pos'),
('devilish', 'pos'),
('devilishly', 'pos'),
('devilment', 'pos'),
('devilry', 'pos'),
('devious', 'pos'),
('deviously', 'pos'),
('deviousness', 'pos'),
('devoid', 'pos'),
('diabolic', 'pos'),
('diabolical', 'pos'),
('diabolically', 'pos'),
('diametrically', 'pos'),
('diappointed', 'pos'),
('diatribe', 'pos'),
('diatribes', 'pos'),
('dick', 'pos'),
('dictator', 'pos'),
('dictatorial', 'pos'),
('die', 'pos'),
('die-hard', 'pos'),
('died', 'pos'),
('dies', 'pos'),
('difficult', 'pos'),
('difficulties', 'pos'),
('difficulty', 'pos'),
('diffidence', 'pos'),
('dilapidated', 'pos'),
('dilemma', 'pos'),
('dilly-dally', 'pos'),
('dim', 'pos'),
('dimmer', 'pos'),
('din', 'pos'),
('ding', 'pos'),
('dings', 'pos'),
('dinky', 'pos'),
('dire', 'pos'),
('direly', 'pos'),
('direness', 'pos'),
('dirt', 'pos'),
('dirtbag', 'pos'),
('dirtbags', 'pos'),
('dirts', 'pos'),
('dirty', 'pos'),
('disable', 'pos'),
('disabled', 'pos'),
('disaccord', 'pos'),
('disadvantage', 'pos'),
('disadvantaged', 'pos'),
('disadvantageous', 'pos'),
('disadvantages', 'pos'),
('disaffect', 'pos'),
('disaffected', 'pos'),
('disaffirm', 'pos'),
('disagree', 'pos'),
('disagreeable', 'pos'),
('disagreeably', 'pos'),
('disagreed', 'pos'),
('disagreeing', 'pos'),
('disagreement', 'pos'),
('disagrees', 'pos'),
('disallow', 'pos'),
('disapointed', 'pos'),
('disapointing', 'pos'),
('disapointment', 'pos'),
('disappoint', 'pos'),
('disappointed', 'pos'),
('disappointing', 'pos'),
('disappointingly', 'pos'),
('disappointment', 'pos'),
('disappointments', 'pos'),
('disappoints', 'pos'),
('disapprobation', 'pos'),
('disapproval', 'pos'),
('disapprove', 'pos'),
('disapproving', 'pos'),
('disarm', 'pos'),
('disarray', 'pos'),
('disaster', 'pos'),
('disasterous', 'pos'),
('disastrous', 'pos'),
('disastrously', 'pos'),
('disavow', 'pos'),
('disavowal', 'pos'),
('disbelief', 'pos'),
('disbelieve', 'pos'),
('disbeliever', 'pos'),
('disclaim', 'pos'),
('discombobulate', 'pos'),
('discomfit', 'pos'),
('discomfititure', 'pos'),
('discomfort', 'pos'),
